text,label,sentiment_score
"Well, I guess I'm left wondering 'light fascists' think *they* are. Yes, I understand issues. I even particularly care idea. But I one finds sort overreaction *little* questionable? You must find things like Moon *really* obnoxious pollution. A questions frothing mouth ask themselves: 1) How long thing supposed stay up? Sounds like would *huge* drag area, lot mass, fairly low orbit. 2) Just orbital parameters talking here? What real impact talking about, really? How many optical astronomers *really* going impacted? 3) Which important; adding extra days 'seeing' (very few) optical astronomers getting data sensors supposed return along data large inflatables (and potential inflatable space station)? The choice would seem one other, since advertising used help fund thing. 4) If answer 3) ""the astronomers"", feel free come way fund (to mind) important research data would gained WITHOUT SPENDING ANY MORE OF MY MONEY TO DO IT. In words, put shut up. Probably so. I'm sure agree 'stupid' are. Yeah, too. -- ""Insisting perfect safety people balls live real world."" -- Mary Shafer, NASA Ames Dryden",1,0.9864
"I think incorrect, Roger. Patrick, Smythe Adams played coached league becoming front office types. Hence, help build league, although great players themselves. I agree name name name, people trouble names easily processed fans, changing names easily processed seems like reasonable idea. If get people (arena) door uncomplicated, let's so. Once them, realize great game hockey is, teach something abotu history game. No, I would want see Ballard division. But say owners assholes, hence NHL management people assholes would fallacious. Conn Smythe, example, classy individual (from I heard). Also, point ""professional"" hockey make money involved, would include players. What I think might saying players made much money due, players make game great people put ice, naming division management people rather players adding insult (in form lesser recognition) injury (less money deserved).",0,-0.2023
"Forwarded Neal Ausman, Galileo Mission Director GALILEO MISSION DIRECTOR STATUS REPORT POST-LAUNCH April 23 - 29, 1993 SPACECRAFT 1. On April 22 23, delta Differenced One-way Range (DOR) passes performed DSS-14/63 (Goldstone/Madrid 70 meter antennas) DSS-14/43 (Goldstone/Canberra 70 meter antennas), respectively. Initial results indicate delta DOR pass April 22 unsuccessful due ground station hardware problems one April 23 successfully performed. 2. On April 23, cruise science Memory Readout (MRO) performed Magnetometer (MAG) instrument. Analysis indicates data received properly. 3. On April 23, spare power relay contacts commanded closed via spacecraft stored sequence. These relays commanded closed CDS (Command Data Subsystem) prior launch commanded closed preclude possibility Jupiter PPS relays/wiring source internal electrostatic charge (IESD). 4. On April 26, cruise science Memory Readouts (MRO) performed Extreme Ultraviolet Spectrometer (EUV), Dust Detector (DDS), Magnetometer (MAG) instruments. Preliminary analysis indicates data received properly. 5. During period April 26 April 27, navigation cycle performed. This navigation cycle provided near-continuous acquisition two-way doppler ranging data three consecutive passes spacecraft DSS-63, DSS-14, DSS-43. 6. On April 26, real-time commands sent test slew Radio Relay Antenna (RRA) preparation mini-sequence slew test April 28. The RRA slewed approximately 3.5 degrees stow approximately 20.3 degrees. Preliminary analysis indicated antenna slewed 18 degrees well within predicted range. The RRA commanded back approximately 15.2 degrees stow. Preliminary analysis indicated antenna reached 15.8 degrees also well within predicted range. The RRA motor temperature 1 degree C start activity increased 1.6 degrees C completion. After verifying proper RRA slewing, RRA slew test mini-sequence uplinked spacecraft execution April 28. Upon successful uplink, Delayed Action Command (DAC) sent reposition stator May 4 initial pre-test position. Also, DAC sent turn Two-Way Noncoherent (TWNC) April 28 prior start RRA slew test mini-sequence. 7. On April 27, NO-OP command sent reset command loss timer 264 hours, planned value mission phase. 8. On April 28, RRA slew test executed nominally. The spacecraft stored sequence control performed six RRA slews starting 16 degrees stow going 53 degrees, back 25 degrees, 51 degrees, back 22 degrees, 48 degrees back 21 degrees. All slews well within predicted range. The RRA motor temperature 2.3 degrees C start activity increased 4.4 degrees C completion. After completion RRA slews, real-time commands sent reconfigure back pre-test configuration. 9. The AC/DC bus imbalance measurements exhibited significant change (greater 25 DN) throughout period. The AC measurement reads 17 DN (3.9 volts). The DC measurement reads 134 DN (15.7 volts). These measurements consistent model developed AC/DC special anomaly team. 10. The Spacecraft status April 29, 1993, follows: a) System Power Margin - 75 watts b) Spin Configuration - Dual-Spin c) Spin Rate/Sensor - 3.15rpm/Star Scanner d) Spacecraft Attitude approximately 23 degrees off-sun (lagging) 4 degrees off-earth (leading) e) Downlink telemetry rate/antenna- 40bps(coded)/LGA-1 f) General Thermal Control - temperatures within acceptable range g) RPM Tank Pressures - within acceptable range h) Orbiter Science- Instruments powered PWS, EUV, UVS, EPD, MAG, HIC, DDS i) Probe/RRH - powered off, temperatures within acceptable range j) CMD Loss Timer Setting - 264 hours Time To Initiation - 203 hours GDS (Ground Data Systems): 1. The first Galileo-GDS test MGDS V18.0 Command System (CMD) took place April 27, 1993 DSS-61 (Madrid 34 meter antenna). The test went well demonstrated new command system interfaced new DSN (Deep Space Network) Group 5 Command Processor Assembly (CPA). The test successful next test V18.0 CMD scheduled May 1, 1993 DSS-15 (Goldstone 34 meter antenna). 2. The April System Engineers Monthly Report(SEMR)/Ground System Development Office (GSDO) MMR conducted Thursday, April 29. A review current Project Institutional (DSN MOSO) system status conducted. On-going cruise development plus GSDO Phase 1 2 delivery schedules, past months accomplishments potential problem areas discussed. No significant schedule changes significant problems reported. TRAJECTORY As noon Thursday, April 29, 1993, Galileo Spacecraft trajectory status follows: Distance Earth 187,745,300 km (1.26 AU) Distance Sun 296,335,800 km (1.98 AU) Heliocentric Speed 89,100 km per hour Distance Jupiter 522,015,800 km Round Trip Light Time 20 minutes, 58 seconds SPECIAL TOPIC",1,0.9699
Pierre Turgeon Islanders,0,0.0
,0,0.0
u920496@daimi.aau.dk (Hans Erik Martino Hansen) writes Arthur C. Clarke way ahead one... wrote short story (title?) 1950s describing exactly proposal!,1,0.0
"""I hold space cannot curved, simple reason properties."" ""Of properties speak dealing matter filling space. To say presence large bodies space becomes curved, equivalent stating something act upon nothing. I, one, refuse subscribe view."" - Nikola Tesla ---- ET ""Tesla 100 years ahead time. Perhaps time comes.""",1,0.2472
"Climbers regard 8000 metres ""The Death Zone"". Even 100% Oxygen, slowly dying. At 8848m (Everest), climbers spend short period time descending. I've 8000 once. Descending little 300m feels like walking jungle, air thick. Everest winter without oxygen, support party (Alpine style). That ""ultimate challenge"" (or solo?)",1,-0.7077
"If got good propulsion system that's useful deceleration, sure use chemical rockets part... even deceleration chemically major headache. We're talking seriously high cruising velocities; taking velocity nearly zero Pluto orbit easy chemical fuels. Incidentally, solar sails going suitable acceleration system something like this. They go anywhere quickly. (I speak head mission planning Canadian Solar Sail Project, although less honorary title right CSSP dormant.) They can't fly mission like unless start talking advanced systems drop close Sun first.",1,0.9361
"I seen anyone post I honors. Maine beat LSSU 5-4 Milwaukee Saturday night. It quite game. Maine stormed 2-0 lead first looked like might run away it. Maine's first goal came inside first thirty seconds game. LSSU came back end period cut lead 2-1. LSSU came second dominating play particularly along boards. The play went quickly refs running no-holds-barred type game. LSSU scored three unanswered goals lead 4-2 end second. Now looked like LSSU might walk away game. Coach Walsh, Maine, replaced starting goalie Dunham Snow, game Michigan. Snow proved much aggressive goalie. The third period, like second, belonged team behind. Maine scored three unanswered goals span five minutes four minute mark. They scored Jim Montgomery, tournament MVP, assisted Paul Kariya. The last minute game bears highlighting. The change Snow also proved difference end. With one minute go LSSU goalie pulled, Snow dueled LSSU forward amazing set moves both. Snow won. It great way end game. This year's three championships games sold last year one month. The Bradley Center holds approximately 17,700.",0,0.9764
